; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-10 21:20:10
; Channels (14/16)
; ChannelsType: 32639
; Sample rate: 50 MHz
; Sample count: 2.384186 M
; Sampling time: 2026-05-10 21:19:48.397
SystemTime, Time(s), OE, LAT , A, B, C, D, E, R1, G1, B1, R2, G2, B2, CLK
'2026-05-10 21:19:48.480130460,0.017130460,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.480307000,0.017307000,0,0,1,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.480483560,0.017483560,0,0,0,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.480660500,0.017660500,0,0,1,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.480837060,0.017837060,0,0,0,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.481013620,0.018013620,0,0,1,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.481190160,0.018190160,0,0,0,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.481366720,0.018366720,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.481543280,0.018543280,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.481720200,0.018720200,0,0,1,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.481896760,0.018896760,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.481896780,0.018896780,0,0,0,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.482073340,0.019073340,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.482249880,0.019249880,0,0,0,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.482426460,0.019426460,0,0,1,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.482603380,0.019603380,0,0,0,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.482779940,0.019779940,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.482956500,0.019956500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.482956520,0.019956520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.482956600,0.019956600,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.482956620,0.019956620,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.482956640,0.019956640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.483133060,0.020133060,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.483309620,0.020309620,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.483309640,0.020309640,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.483486200,0.020486200,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.483663120,0.020663120,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.483839660,0.020839660,0,0,1,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.484016220,0.021016220,0,0,0,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.484192780,0.021192780,0,0,1,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.484369340,0.021369340,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.484369360,0.021369360,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.484545900,0.021545900,0,0,1,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.484722840,0.021722840,0,0,1,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.484722860,0.021722860,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.484899400,0.021899400,0,0,1,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.485075960,0.022075960,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.485252520,0.022252520,0,0,1,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.485429060,0.022429060,0,0,0,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.485605980,0.022605980,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.485782540,0.022782540,0,1,0,0,1,1,1,0,1,1,1,1,1,1
'2026-05-10 21:19:48.485782560,0.022782560,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.485959100,0.022959100,0,0,1,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.486135620,0.023135620,0,0,1,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.486135640,0.023135640,0,0,0,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.486312160,0.023312160,0,0,1,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.486488680,0.023488680,0,0,0,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.486665600,0.023665600,0,0,1,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.486842160,0.023842160,0,0,0,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.487018700,0.024018700,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.487195260,0.024195260,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.487195280,0.024195280,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.487371820,0.024371820,0,0,1,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.487548360,0.024548360,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.487548380,0.024548380,0,0,0,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.487725280,0.024725280,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.487901860,0.024901860,0,0,0,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.488078400,0.025078400,0,0,1,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.488254960,0.025254960,0,0,0,1,1,1,1,0,0,0,0,0,0,0
